"Source:","/home/graham/Projects/preamp-2019/input_output_board/input_output_board.sch"
"Date:","Tue 01 Oct 2019 08:27:54 AM EDT"
"Tool:","Eeschema 5.1.4"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","19"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Distributor","Distributor PN","Manufacturer","Manufacturer PN","URL","Unit Price"
"","","D1","MRA4004T3G","Device:D","Diode_SMD:D_SMA","http://www.onsemi.com/pub_link/Collateral/MRA4003T3-D.PDF","Digikey","MRA4004T3GOSCT-ND","On Semiconductor","MRA4004T3G","https://www.digikey.com/products/en/discrete-semiconductor-products/diodes-rectifiers-single/280?k=MRA4004T3G&k=&pkeyword=MRA4004T3G&sv=0&pv7=2&sf=0&quantity=&ColumnSort=0&page=1&pageSize=25","0.29"
"","","D2","MRA4004T3G","Device:D","Diode_SMD:D_SMA","http://www.onsemi.com/pub_link/Collateral/MRA4003T3-D.PDF","Digikey","MRA4004T3GOSCT-ND","On Semiconductor","MRA4004T3G","https://www.digikey.com/products/en/discrete-semiconductor-products/diodes-rectifiers-single/280?k=MRA4004T3G&k=&pkeyword=MRA4004T3G&sv=0&pv7=2&sf=0&quantity=&ColumnSort=0&page=1&pageSize=25","0.29"
"","","D3","MRA4004T3G","Device:D","Diode_SMD:D_SMA","http://www.onsemi.com/pub_link/Collateral/MRA4003T3-D.PDF","Digikey","MRA4004T3GOSCT-ND","On Semiconductor","MRA4004T3G","https://www.digikey.com/products/en/discrete-semiconductor-products/diodes-rectifiers-single/280?k=MRA4004T3G&k=&pkeyword=MRA4004T3G&sv=0&pv7=2&sf=0&quantity=&ColumnSort=0&page=1&pageSize=25","0.29"
"","","D4","MRA4004T3G","Device:D","Diode_SMD:D_SMA","http://www.onsemi.com/pub_link/Collateral/MRA4003T3-D.PDF","Digikey","MRA4004T3GOSCT-ND","On Semiconductor","MRA4004T3G","https://www.digikey.com/products/en/discrete-semiconductor-products/diodes-rectifiers-single/280?k=MRA4004T3G&k=&pkeyword=MRA4004T3G&sv=0&pv7=2&sf=0&quantity=&ColumnSort=0&page=1&pageSize=25","0.29"
"","","D5","MRA4004T3G","Device:D","Diode_SMD:D_SMA","http://www.onsemi.com/pub_link/Collateral/MRA4003T3-D.PDF","Digikey","MRA4004T3GOSCT-ND","On Semiconductor","MRA4004T3G","https://www.digikey.com/products/en/discrete-semiconductor-products/diodes-rectifiers-single/280?k=MRA4004T3G&k=&pkeyword=MRA4004T3G&sv=0&pv7=2&sf=0&quantity=&ColumnSort=0&page=1&pageSize=25","0.29"
"","","J1","Neutrik_NCJ6FA-H-0","Connector_gkeeth:Neutrik_NCJ6FA-H-0","Connector_Audio_project:Jack_XLR-6.35mm_Neutrik_NCJ6FA-H-0_Horizontal","https://www.neutrik.us/en-us/product/ncj6fa-h-0","Mouser","568-NCJ6FA-H-0","Neutrik","NCJ6FA-H-0","https://www.mouser.com/ProductDetail/Neutrik/NCJ6FA-H-0?qs=sGAEpiMZZMv0W4pxf2HiVz0kF5fvPbmUN84Qkb8AgIM%3D","2.14"
"","","J2","Neutrik_NCJ6FA-H-0","Connector_gkeeth:Neutrik_NCJ6FA-H-0","Connector_Audio_project:Jack_XLR-6.35mm_Neutrik_NCJ6FA-H-0_Horizontal","https://www.neutrik.us/en-us/product/ncj6fa-h-0","Mouser","568-NCJ6FA-H-0","Neutrik","NCJ6FA-H-0","https://www.mouser.com/ProductDetail/Neutrik/NCJ6FA-H-0?qs=sGAEpiMZZMv0W4pxf2HiVz0kF5fvPbmUN84Qkb8AgIM%3D","2.14"
"","","J3","Neutrik_NCJ6FA-H-0","Connector_gkeeth:Neutrik_NCJ6FA-H-0","Connector_Audio_project:Jack_XLR-6.35mm_Neutrik_NCJ6FA-H-0_Horizontal","https://www.neutrik.us/en-us/product/ncj6fa-h-0","Mouser","568-NCJ6FA-H-0","Neutrik","NCJ6FA-H-0","https://www.mouser.com/ProductDetail/Neutrik/NCJ6FA-H-0?qs=sGAEpiMZZMv0W4pxf2HiVz0kF5fvPbmUN84Qkb8AgIM%3D","2.14"
"","","J4","Neutrik_NCJ6FA-H-0","Connector_gkeeth:Neutrik_NCJ6FA-H-0","Connector_Audio_project:Jack_XLR-6.35mm_Neutrik_NCJ6FA-H-0_Horizontal","https://www.neutrik.us/en-us/product/ncj6fa-h-0","Mouser","568-NCJ6FA-H-0","Neutrik","NCJ6FA-H-0","https://www.mouser.com/ProductDetail/Neutrik/NCJ6FA-H-0?qs=sGAEpiMZZMv0W4pxf2HiVz0kF5fvPbmUN84Qkb8AgIM%3D","2.14"
"","","J5","Neutrik_NC3MAH","Connector_gkeeth:Neutrik_NC3MAH","Connector_Audio_project:Jack_XLR_Neutrik_NC3MAH_Horizontal","https://www.neutrik.us/en-us/product/nc3mah","Mouser","568-NC3MAH","Neutrik","NC3MAH","https://www.mouser.com/ProductDetail/Neutrik/NC3MAH?qs=sGAEpiMZZMv0W4pxf2HiV0%252BKdhvD8lQRNSjbmflhq7A%3D","1.25"
"","","J6","Conn_02x05_Odd_Even","Connector_Generic:Conn_02x05_Odd_Even","Connector_Molex_C-Grid:Molex_C-Grid_70246-1001_2x05_P2.54mm_Vertical","https://www.molex.com/pdm_docs/sd/702461001_sd.pdf","Digikey","WM9219-ND","Molex","0702461001","https://www.digikey.com/products/en?keywords=70246-1001","1.70"
"","","J7","Molex_SL_01x02_Male","Connector_gkeeth:Molex_SL_01x02_Male","Connector_Molex_SL:Molex_SL_A-70553-0001_1x02_P2.54mm_Horizontal","https://www.molex.com/pdm_docs/sd/705430001_sd.pdf","Digikey","WM4900-ND","Molex","0705430001","https://www.digikey.com/products/en?keywords=70553-0001","0.74"
"","","J8","Molex_SL_01x02_Male","Connector_gkeeth:Molex_SL_01x02_Male","Connector_Molex_SL:Molex_SL_A-70553-0001_1x02_P2.54mm_Horizontal","https://www.molex.com/pdm_docs/sd/705430001_sd.pdf","Digikey","WM4900-ND","Molex","0705430001","https://www.digikey.com/products/en?keywords=70553-0001","0.74"
"","","J9","Molex_SL_01x02_Male","Connector_gkeeth:Molex_SL_01x02_Male","Connector_Molex_SL:Molex_SL_A-70553-0001_1x02_P2.54mm_Horizontal","https://www.molex.com/pdm_docs/sd/705430001_sd.pdf","Digikey","WM4900-ND","Molex","0705430001","https://www.digikey.com/products/en?keywords=70553-0001","0.74"
"","","K1","G6S-2","Relay:G6S-2","Relay_SMD:Relay_DPDT_Omron_G6S-2F","http://omronfs.omron.com/en_US/ecb/products/pdf/en-g6s.pdf","Digikey","Z889-ND","Omron","G6S-2F DC12","https://www.digikey.com/product-detail/en/omron-electronics-inc-emc-div/G6S-2F-DC12/Z889-ND/27491","3.64"
"","","K2","G6S-2","Relay:G6S-2","Relay_SMD:Relay_DPDT_Omron_G6S-2F","http://omronfs.omron.com/en_US/ecb/products/pdf/en-g6s.pdf","Digikey","Z889-ND","Omron","G6S-2F DC12","https://www.digikey.com/product-detail/en/omron-electronics-inc-emc-div/G6S-2F-DC12/Z889-ND/27491","3.64"
"","","K3","G6S-2","Relay:G6S-2","Relay_SMD:Relay_DPDT_Omron_G6S-2F","http://omronfs.omron.com/en_US/ecb/products/pdf/en-g6s.pdf","Digikey","Z889-ND","Omron","G6S-2F DC12","https://www.digikey.com/product-detail/en/omron-electronics-inc-emc-div/G6S-2F-DC12/Z889-ND/27491","3.64"
"","","K4","G6S-2","Relay:G6S-2","Relay_SMD:Relay_DPDT_Omron_G6S-2F","http://omronfs.omron.com/en_US/ecb/products/pdf/en-g6s.pdf","Digikey","Z889-ND","Omron","G6S-2F DC12","https://www.digikey.com/product-detail/en/omron-electronics-inc-emc-div/G6S-2F-DC12/Z889-ND/27491","3.64"
"","","K5","G6S-2","Relay:G6S-2","Relay_SMD:Relay_DPDT_Omron_G6S-2F","http://omronfs.omron.com/en_US/ecb/products/pdf/en-g6s.pdf","Digikey","Z889-ND","Omron","G6S-2F DC12","https://www.digikey.com/product-detail/en/omron-electronics-inc-emc-div/G6S-2F-DC12/Z889-ND/27491","3.64"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Distributor","Distributor PN","Manufacturer","Manufacturer PN","URL","Unit Price"
"1","5","D1, D2, D3, D4, D5","MRA4004T3G","Device:D","Diode_SMD:D_SMA","http://www.onsemi.com/pub_link/Collateral/MRA4003T3-D.PDF","Digikey","MRA4004T3GOSCT-ND","On Semiconductor","MRA4004T3G","https://www.digikey.com/products/en/discrete-semiconductor-products/diodes-rectifiers-single/280?k=MRA4004T3G&k=&pkeyword=MRA4004T3G&sv=0&pv7=2&sf=0&quantity=&ColumnSort=0&page=1&pageSize=25","0.29"
"2","4","J1, J2, J3, J4","Neutrik_NCJ6FA-H-0","Connector_gkeeth:Neutrik_NCJ6FA-H-0","Connector_Audio_project:Jack_XLR-6.35mm_Neutrik_NCJ6FA-H-0_Horizontal","https://www.neutrik.us/en-us/product/ncj6fa-h-0","Mouser","568-NCJ6FA-H-0","Neutrik","NCJ6FA-H-0","https://www.mouser.com/ProductDetail/Neutrik/NCJ6FA-H-0?qs=sGAEpiMZZMv0W4pxf2HiVz0kF5fvPbmUN84Qkb8AgIM%3D","2.14"
"3","1","J5","Neutrik_NC3MAH","Connector_gkeeth:Neutrik_NC3MAH","Connector_Audio_project:Jack_XLR_Neutrik_NC3MAH_Horizontal","https://www.neutrik.us/en-us/product/nc3mah","Mouser","568-NC3MAH","Neutrik","NC3MAH","https://www.mouser.com/ProductDetail/Neutrik/NC3MAH?qs=sGAEpiMZZMv0W4pxf2HiV0%252BKdhvD8lQRNSjbmflhq7A%3D","1.25"
"4","1","J6","Conn_02x05_Odd_Even","Connector_Generic:Conn_02x05_Odd_Even","Connector_Molex_C-Grid:Molex_C-Grid_70246-1001_2x05_P2.54mm_Vertical","https://www.molex.com/pdm_docs/sd/702461001_sd.pdf","Digikey","WM9219-ND","Molex","0702461001","https://www.digikey.com/products/en?keywords=70246-1001","1.70"
"5","3","J7, J8, J9","Molex_SL_01x02_Male","Connector_gkeeth:Molex_SL_01x02_Male","Connector_Molex_SL:Molex_SL_A-70553-0001_1x02_P2.54mm_Horizontal","https://www.molex.com/pdm_docs/sd/705430001_sd.pdf","Digikey","WM4900-ND","Molex","0705430001","https://www.digikey.com/products/en?keywords=70553-0001","0.74"
"6","5","K1, K2, K3, K4, K5","G6S-2","Relay:G6S-2","Relay_SMD:Relay_DPDT_Omron_G6S-2F","http://omronfs.omron.com/en_US/ecb/products/pdf/en-g6s.pdf","Digikey","Z889-ND","Omron","G6S-2F DC12","https://www.digikey.com/product-detail/en/omron-electronics-inc-emc-div/G6S-2F-DC12/Z889-ND/27491","3.64"
